Nom,Prenom,Identifiant,INE,Groupe TD,Groupe TP,Statuts,Parcours,Bac,Année Bac,Type Bac,Courriel
Bataille,Samson,bsamson,5548694pk,1,1,,,Série générale,2021,,bsamson@iutbayonne.univ-pau.fr
Weiss,Normand,wnormand,3652098pk,1,2,,,Série générale,2021,,wnormand@iutbayonne.univ-pau.fr
Cros,Maurice,cmaurice,9284383pk,1,2,,,Série générale,2021,,cmaurice@iutbayonne.univ-pau.fr
Boulet,Lemonnier,blemonnier,7842289pk,2,3,,,Série générale,2021,,blemonnier@iutbayonne.univ-pau.fr
Vial,Doucet,vdoucet,8767769pk,1,1,,,Série générale,2021,,vdoucet@iutbayonne.univ-pau.fr
Pereira,Chartier,pchartier,9799944pk,2,3,,,ST de l'Ind. et du développement durable,2021,,pchartier@iutbayonne.univ-pau.fr
Bodin,Godard,bgodard,8067550pk,1,2,,,Série générale,2021,,bgodard@iutbayonne.univ-pau.fr
Bataille,Andrieu,bandrieu,5928704pk,2,4,,,Série générale,2021,,bandrieu@iutbayonne.univ-pau.fr
Dujardin,Petitjean,dpetitjean,7890211pk,1,1,,,Série générale,2021,,dpetitjean@iutbayonne.univ-pau.fr
Combes,Neveu,cneveu,5876550pk,2,4,red. 1A,,S-Scientifique,2020,,cneveu@iutbayonne.univ-pau.fr
Maurel,Bousquet,mbousquet,1866581pk,2,3,,,Série générale,2021,,mbousquet@iutbayonne.univ-pau.fr
Bouquet,Blondel,bblondel,7922647pk,2,3,,,ST de l'Ind. et du développement durable,2021,,bblondel@iutbayonne.univ-pau.fr
Le Guen,Normand,lnormand,2056942pk,2,3,,,ST de l'Ind. et du développement durable,2021,,lnormand@iutbayonne.univ-pau.fr
Weiss,Petitjean,wpetitjean,3583078pk,1,2,,,Série générale,2021,,wpetitjean@iutbayonne.univ-pau.fr
Lacour,Gros,lgros,3085591pk,2,4,,,Série générale,2021,,lgros@iutbayonne.univ-pau.fr
Cartier,Besnard,cbesnard,4001565pk,1,2,,,Série générale,2021,,cbesnard@iutbayonne.univ-pau.fr
Maillet,Dijoux,mdijoux,4632009pk,1,2,,,ST de l'Ind. et du développement durable,2021,,mdijoux@iutbayonne.univ-pau.fr
Fouquet,Lombard,flombard,1987173pk,1,1,Délégué TP5,,Série générale,2021,,flombard@iutbayonne.univ-pau.fr
Weiss,Hardy,whardy,1202202pk,2,3,,,ST de l'Ind. et du développement durable,2021,,whardy@iutbayonne.univ-pau.fr
Descamps,Lacombe,dlacombe,7369102pk,2,3,,,ST de l'Ind. et du développement durable,2021,,dlacombe@iutbayonne.univ-pau.fr
Gosselin,Peltier,gpeltier,6644647pk,2,3,,,Série générale,2021,,gpeltier@iutbayonne.univ-pau.fr
Boutin,Peron,bperon,5110121pk,1,2,,,ST de l'Ind. et du développement durable,2021,,bperon@iutbayonne.univ-pau.fr
Bellanger,Pons,bpons,3066412pk,2,3,Délégué TP2,,Série générale,2021,,bpons@iutbayonne.univ-pau.fr
Maire,Devaux,mdevaux,7328539pk,2,3,,,Série générale,2021,,mdevaux@iutbayonne.univ-pau.fr
Vial,Rousset,vrousset,6378194pk,2,4,,,ST de l'Ind. et du développement durable,2021,,vrousset@iutbayonne.univ-pau.fr
Mangin,Descamps,mdescamps,1992365pk,1,2,,,ST de l'Ind. et du développement durable,2021,,mdescamps@iutbayonne.univ-pau.fr
Comte,Guy,cguy,5280911pk,2,4,Tiers-temps. Campus France. Arrivée en France le 09/09/2021.,,0031-titre étranger admis en équivalence,2020,,cguy@iutbayonne.univ-pau.fr
Merlin,Bodin,mbodin,4781584pk,1,2,Démission,,S-Scientifique,2020,,mbodin@iutbayonne.univ-pau.fr
Gueguen,Chambon,gchambon,1100210pk,2,3,Tiers-temps,,Série générale,2021,,gchambon@iutbayonne.univ-pau.fr
Allard,Paul,apaul,8728947pk,2,3,,,Série générale,2021,,apaul@iutbayonne.univ-pau.fr
Martinet,Neveu,mneveu,1652719pk,1,2,,,Série générale,2021,,mneveu@iutbayonne.univ-pau.fr
Lacour,Descamps,ldescamps,3421267pk,1,1,,,ST de l'Ind. et du développement durable,2021,,ldescamps@iutbayonne.univ-pau.fr
Doucet,Bonneau,dbonneau,6555424pk,1,2,,,Série générale,2021,,dbonneau@iutbayonne.univ-pau.fr
Joseph,Blondel,jblondel,997358pk,2,4,,,Série générale,2021,,jblondel@iutbayonne.univ-pau.fr
Blondel,Girault,bgirault,3675245pk,2,4,,,Série générale,2021,,bgirault@iutbayonne.univ-pau.fr
Kieffer,Raymond,kraymond,7163376pk,1,2,Tiers-temps + PC portable,,ST de l'Ind. et du développement durable,2021,,kraymond@iutbayonne.univ-pau.fr
Pommier,Albert,palbert,9737770pk,2,4,Tiers-temps. Campus France. Arrivée à l'IUT le 10/09/2021.,,0031-titre étranger admis en équivalence,2017,,palbert@iutbayonne.univ-pau.fr
Bocquet,Le Corre,ble corre,5704105pk,1,2,,,ST de l'Ind. et du développement durable,2021,,ble corre@iutbayonne.univ-pau.fr
Chambon,Parent,cparent,7625486pk,1,2,,,Série générale,2021,,cparent@iutbayonne.univ-pau.fr
Pujol,Vaillant,pvaillant,8431746pk,2,3,,,0021-bacs professionnels industriels,2018,,pvaillant@iutbayonne.univ-pau.fr
Blondel,Loiseau,bloiseau,2397571pk,2,3,,,Série générale,2021,,bloiseau@iutbayonne.univ-pau.fr
Gosselin,Guillon,gguillon,1441966pk,2,4,Délégué TP3,,ST de l'Ind. et du développement durable,2021,,gguillon@iutbayonne.univ-pau.fr
Delannoy,Cornu,dcornu,6698363pk,2,3,red. 1A,,ST de l'Ind. et du développement durable,2020,,dcornu@iutbayonne.univ-pau.fr
