Nom;Prenom;Identifiant;INE;Groupe TD;Groupe TP;Statuts;Parcours;Bac;Année Bac;Type Bac;Courriel;;
Mace;Leger;mleger;9740608pk;3;5;;;Série générale;2021;;mleger@iutbayonne.univ-pau.fr;;fzeggre
Brault;Gay;bgay;6123719pk;2;4;;;Série générale;2021;;bgay@iutbayonne.univ-pau.fr;;g
Cornu;Etienne;cetienne;5597754pk;3;5;;;Série générale;2021;;cetienne@iutbayonne.univ-pau.fr;;
Comte;Barthelemy;cbarthelemy;3391601pk;3;5;;;Série générale;2021;;cbarthelemy@iutbayonne.univ-pau.fr;;
Legros;Renard;lrenard;1624108pk;2;4;;;Série générale;2021;;lrenard@iutbayonne.univ-pau.fr;;
Loiseau;Blanchard;lblanchard;7064503pk;2;4;;;ST de l'Ind. et du développement durable;2021;;lblanchard@iutbayonne.univ-pau.fr;;
Bigot;Perez;bperez;3865172pk;1;2;;;Série générale;2021;;bperez@iutbayonne.univ-pau.fr;;
Rose;Pelletier;rpelletier;3508795pk;3;5;;;Série générale;2021;;rpelletier@iutbayonne.univ-pau.fr;;
Chretien;Garnier;cgarnier;7067152pk;3;5;;;Série générale;2021;;cgarnier@iutbayonne.univ-pau.fr;;
Fleury;Caron;fcaron;2700201pk;1;1;red. 1A;;S-Scientifique;2020;;fcaron@iutbayonne.univ-pau.fr;;
Leger;Guyot;lguyot;269203pk;1;1;;;Série générale;2021;;lguyot@iutbayonne.univ-pau.fr;;
Neveu;Hamon;nhamon;5995835pk;1;2;;;ST de l'Ind. et du développement durable;2021;;nhamon@iutbayonne.univ-pau.fr;;
Serre;Pierre;spierre;9004809pk;2;3;;;ST de l'Ind. et du développement durable;2021;;spierre@iutbayonne.univ-pau.fr;;
Daniel;Da Silva;dda silva;4067081pk;2;4;;;Série générale;2021;;dda silva@iutbayonne.univ-pau.fr;;
Mary;Menard;mmenard;9141827pk;1;1;;;Série générale;2021;;mmenard@iutbayonne.univ-pau.fr;;
Neveu;Jacquet;njacquet;3855786pk;3;5;;;Série générale;2021;;njacquet@iutbayonne.univ-pau.fr;;
Techer;Lemoine;tlemoine;8483148pk;2;3;;;ST de l'Ind. et du développement durable;2021;;tlemoine@iutbayonne.univ-pau.fr;;
Claude;Jacob;cjacob;2487526pk;3;5;Délégué TP5;;Série générale;2021;;cjacob@iutbayonne.univ-pau.fr;;
Gilles;Fleury;gfleury;533577pk;2;4;;;ST de l'Ind. et du développement durable;2021;;gfleury@iutbayonne.univ-pau.fr;;
Provost;Lemoine;plemoine;1828954pk;1;2;;;ST de l'Ind. et du développement durable;2021;;plemoine@iutbayonne.univ-pau.fr;;
Michaud;Marechal;mmarechal;4246750pk;1;2;;;Série générale;2021;;mmarechal@iutbayonne.univ-pau.fr;;
Dupre;Aubert;daubert;5526836pk;2;4;;;ST de l'Ind. et du développement durable;2021;;daubert@iutbayonne.univ-pau.fr;;
Loiseau;Payet;lpayet;2491915pk;1;2;Délégué TP2;;Série générale;2021;;lpayet@iutbayonne.univ-pau.fr;;
Laborde;Deschamps;ldeschamps;7825928pk;2;3;;;Série générale;2021;;ldeschamps@iutbayonne.univ-pau.fr;;
Seguin;Hamon;shamon;6972193pk;1;2;;;ST de l'Ind. et du développement durable;2021;;shamon@iutbayonne.univ-pau.fr;;
Bourdon;Reynaud;breynaud;2700159pk;1;1;;;ST de l'Ind. et du développement durable;2021;;breynaud@iutbayonne.univ-pau.fr;;
Tessier;Barre;tbarre;6113493pk;2;3;Tiers-temps. Campus France. Arrivée en France le 09/09/2021.;;0031-titre étranger admis en équivalence;2020;;tbarre@iutbayonne.univ-pau.fr;;
Bigot;Leger;bleger;1345067pk;2;4;Démission;;S-Scientifique;2020;;bleger@iutbayonne.univ-pau.fr;;
Neveu;Gillet;ngillet;8411409pk;2;4;Tiers-temps;;Série générale;2021;;ngillet@iutbayonne.univ-pau.fr;;
Weiss;Antoine;wantoine;4980264pk;1;1;;;Série générale;2021;;wantoine@iutbayonne.univ-pau.fr;;
Paul;Dubois;pdubois;8161173pk;3;5;;;Série générale;2021;;pdubois@iutbayonne.univ-pau.fr;;
Berger;Boucher;bboucher;9950825pk;1;2;;;ST de l'Ind. et du développement durable;2021;;bboucher@iutbayonne.univ-pau.fr;;
Giraud;Millet;gmillet;7735819pk;2;3;;;Série générale;2021;;gmillet@iutbayonne.univ-pau.fr;;
Poncet;Perrin;pperrin;8049317pk;1;1;;;Série générale;2021;;pperrin@iutbayonne.univ-pau.fr;;
Weber;Gay;wgay;8579287pk;3;5;;;Série générale;2021;;wgay@iutbayonne.univ-pau.fr;;
Rossi;Blanc;rblanc;1144561pk;2;4;Tiers-temps + PC portable;;ST de l'Ind. et du développement durable;2021;;rblanc@iutbayonne.univ-pau.fr;;
Weiss;Besson;wbesson;1458201pk;2;3;Tiers-temps. Campus France. Arrivée à l'IUT le 10/09/2021.;;0031-titre étranger admis en équivalence;2017;;wbesson@iutbayonne.univ-pau.fr;;
Laine;Tessier;ltessier;8994900pk;1;2;;;ST de l'Ind. et du développement durable;2021;;ltessier@iutbayonne.univ-pau.fr;;
Julien;Rodriguez;jrodriguez;7231216pk;3;5;;;Série générale;2021;;jrodriguez@iutbayonne.univ-pau.fr;;
Sanchez;Pelletier;spelletier;5801677pk;2;3;;;0021-bacs professionnels industriels;2018;;spelletier@iutbayonne.univ-pau.fr;;
Michaud;Carpentier;mcarpentier;1232109pk;1;2;;;Série générale;2021;;mcarpentier@iutbayonne.univ-pau.fr;;
Fernandez;Chauvin;fchauvin;1661014pk;2;3;Délégué TP3;;ST de l'Ind. et du développement durable;2021;;fchauvin@iutbayonne.univ-pau.fr;;
Maillot;Leger;mleger;6955145pk;2;4;red. 1A;;ST de l'Ind. et du développement durable;2020;;mleger@iutbayonne.univ-pau.fr;;
Marquet;Pasquier;mpasquier;1444442pk;1;1;Délégué TP1;;Série générale;2021;;mpasquier@iutbayonne.univ-pau.fr;;
Lasserre;Lemaire;llemaire;2921629pk;1;1;Démission;;Série générale;2021;;llemaire@iutbayonne.univ-pau.fr;;
Normand;Robin;nrobin;7906596pk;1;2;Démission;;ST de l'Ind. et du développement durable;2021;;nrobin@iutbayonne.univ-pau.fr;;
Bonneau;Gerard;bgerard;5475814pk;1;1;;;Série générale;2021;;bgerard@iutbayonne.univ-pau.fr;;
Collet;Gay;cgay;746787pk;1;2;Démission;;ST de l'Ind. et du développement durable;2021;;cgay@iutbayonne.univ-pau.fr;;
Comte;Chevalier;cchevalier;3708518pk;3;5;;;Série générale;2021;;cchevalier@iutbayonne.univ-pau.fr;;
Gregoire;Schneider;gschneider;8041543pk;2;3;;;ST de l'Ind. et du développement durable;2021;;gschneider@iutbayonne.univ-pau.fr;;
Dupre;Dupont;ddupont;6155500pk;1;1;;;S-Scientifique;2020;;ddupont@iutbayonne.univ-pau.fr;;
Brossard;Schmitt;bschmitt;2269816pk;2;3;;;ST de l'Ind. et du développement durable;2021;;bschmitt@iutbayonne.univ-pau.fr;;
Levasseur;Clement;lclement;8881478pk;3;5;;;Série générale;2021;;lclement@iutbayonne.univ-pau.fr;;
Lemoine;Baron;lbaron;3703408pk;1;2;Démission;;Série générale;2021;;lbaron@iutbayonne.univ-pau.fr;;
Jacques;Perez;jperez;9127493pk;2;3;;;ST de l'Ind. et du développement durable;2021;;jperez@iutbayonne.univ-pau.fr;;
Letellier;Rey;lrey;2393970pk;1;1;;;Série générale;2021;;lrey@iutbayonne.univ-pau.fr;;
Salaun;Meyer;smeyer;555718pk;3;5;Tiers-temps;;Série générale;2021;;smeyer@iutbayonne.univ-pau.fr;;
Lacour;Bertin;lbertin;5851223pk;2;3;;;Série générale;2021;;lbertin@iutbayonne.univ-pau.fr;;
