Salle;NumeroPlace;Nom;Prenom;Statut;Mail
S124;2;ROSSI;Blanc;TT;rblanc@iutbayonne.univ-pau.fr
S124;12;NEVEU;Gillet;TT;ngillet@iutbayonne.univ-pau.fr
S124;22;SALAUN;Meyer;TT;smeyer@iutbayonne.univ-pau.fr
S124;4;TESSIER;Barre;TT;tbarre@iutbayonne.univ-pau.fr
S124;14;WEISS;Besson;TT;wbesson@iutbayonne.univ-pau.fr
S124;24;BERGER;Boucher;;bboucher@iutbayonne.univ-pau.fr
S124;6;BERTHELOT;Martinez;;bmartinez@iutbayonne.univ-pau.fr
S124;16;BIGOT;Perez;;bperez@iutbayonne.univ-pau.fr
S124;26;BONNEAU;Gerard;;bgerard@iutbayonne.univ-pau.fr
S124;8;BOURDON;Reynaud;;breynaud@iutbayonne.univ-pau.fr
S124;18;BOURGEOIS;Gillet;;bgillet@iutbayonne.univ-pau.fr
S124;28;BRAULT;Gay;;bgay@iutbayonne.univ-pau.fr
S124;10;BRAULT;Michel;;bmichel@iutbayonne.univ-pau.fr
S124;20;BROSSARD;Schmitt;;bschmitt@iutbayonne.univ-pau.fr
S124;30;CHRETIEN;Garnier;;cgarnier@iutbayonne.univ-pau.fr
S125;2;CLAUDE;Jacob;;cjacob@iutbayonne.univ-pau.fr
S125;12;COLLET;Gay;;cgay@iutbayonne.univ-pau.fr
S125;22;COMTE;Barthelemy;;cbarthelemy@iutbayonne.univ-pau.fr
S125;4;COMTE;Chevalier;;cchevalier@iutbayonne.univ-pau.fr
S125;14;CORNU;Etienne;;cetienne@iutbayonne.univ-pau.fr
S125;24;DANIEL;"Da Silva";;"dda silva@iutbayonne.univ-pau.fr"
S125;6;DUPRE;Aubert;;daubert@iutbayonne.univ-pau.fr
S125;16;DUPRE;Dupont;;ddupont@iutbayonne.univ-pau.fr
S125;26;FERNANDEZ;Chauvin;;fchauvin@iutbayonne.univ-pau.fr
S125;8;FLEURY;Caron;;fcaron@iutbayonne.univ-pau.fr
S125;18;GEOFFROY;Leveque;;gleveque@iutbayonne.univ-pau.fr
S125;28;GILLES;Fleury;;gfleury@iutbayonne.univ-pau.fr
S125;10;GIRAUD;Millet;;gmillet@iutbayonne.univ-pau.fr
S125;20;GREGOIRE;Schneider;;gschneider@iutbayonne.univ-pau.fr
S125;30;HOFFMANN;Gilbert;;hgilbert@iutbayonne.univ-pau.fr
Amphi;12;JACQUES;Perez;;jperez@iutbayonne.univ-pau.fr
Amphi;10;JULIEN;Rodriguez;;jrodriguez@iutbayonne.univ-pau.fr
Amphi;8;LABORDE;Deschamps;;ldeschamps@iutbayonne.univ-pau.fr
Amphi;6;LACOUR;Bertin;;lbertin@iutbayonne.univ-pau.fr
Amphi;4;LAINE;Tessier;;ltessier@iutbayonne.univ-pau.fr
Amphi;2;LEGER;Guyot;;lguyot@iutbayonne.univ-pau.fr
Amphi;25;LEGROS;Renard;;lrenard@iutbayonne.univ-pau.fr
Amphi;23;LEMOINE;Baron;;lbaron@iutbayonne.univ-pau.fr
Amphi;21;LETELLIER;Rey;;lrey@iutbayonne.univ-pau.fr
Amphi;19;LEVASSEUR;Clement;;lclement@iutbayonne.univ-pau.fr
Amphi;17;LOISEAU;Blanchard;;lblanchard@iutbayonne.univ-pau.fr
Amphi;15;LOISEAU;Payet;;lpayet@iutbayonne.univ-pau.fr
Amphi;38;LOISEAU;Fernandez;;lfernandez@iutbayonne.univ-pau.fr
Amphi;36;LOMBARD;Giraud;;lgiraud@iutbayonne.univ-pau.fr
Amphi;34;MACE;Leger;;mleger@iutbayonne.univ-pau.fr
Amphi;32;MAILLOT;Leger;;mleger@iutbayonne.univ-pau.fr
Amphi;30;MARQUET;Pasquier;;mpasquier@iutbayonne.univ-pau.fr
Amphi;28;MARY;Menard;;mmenard@iutbayonne.univ-pau.fr
Amphi;51;MAURIN;Chevallier;;mchevallier@iutbayonne.univ-pau.fr
Amphi;49;MICHAUD;Marechal;;mmarechal@iutbayonne.univ-pau.fr
Amphi;47;MICHAUD;Carpentier;;mcarpentier@iutbayonne.univ-pau.fr
Amphi;45;NEVEU;Hamon;;nhamon@iutbayonne.univ-pau.fr
Amphi;43;NEVEU;Jacquet;;njacquet@iutbayonne.univ-pau.fr
Amphi;41;NORMAND;Robin;;nrobin@iutbayonne.univ-pau.fr
Amphi;64;PAUL;Dubois;;pdubois@iutbayonne.univ-pau.fr
Amphi;62;PONCET;Perrin;;pperrin@iutbayonne.univ-pau.fr
Amphi;60;PROVOST;Lemoine;;plemoine@iutbayonne.univ-pau.fr
Amphi;58;ROSE;Pelletier;;rpelletier@iutbayonne.univ-pau.fr
Amphi;56;SANCHEZ;Pelletier;;spelletier@iutbayonne.univ-pau.fr
Amphi;54;SEGUIN;Hamon;;shamon@iutbayonne.univ-pau.fr
Amphi;77;SERRE;Pierre;;spierre@iutbayonne.univ-pau.fr
Amphi;75;TECHER;Lemoine;;tlemoine@iutbayonne.univ-pau.fr
Amphi;73;TELLIER;Pichon;;tpichon@iutbayonne.univ-pau.fr
Amphi;71;WEBER;Gay;;wgay@iutbayonne.univ-pau.fr
Amphi;69;WEISS;Antoine;;wantoine@iutbayonne.univ-pau.fr
