Salle;NumeroPlace;Nom;Prenom;Statut;Mail
S124;2;NEVEU;Gillet;TT;ngillet@iutbayonne.univ-pau.fr
S124;11;SALAUN;Meyer;TT;smeyer@iutbayonne.univ-pau.fr
S124;22;TESSIER;Barre;TT;tbarre@iutbayonne.univ-pau.fr
S124;4;WEISS;Besson;TT;wbesson@iutbayonne.univ-pau.fr
S124;13;BERGER;Boucher;;bboucher@iutbayonne.univ-pau.fr
S124;24;BERTHELOT;Martinez;;bmartinez@iutbayonne.univ-pau.fr
S124;6;BIGOT;Perez;;bperez@iutbayonne.univ-pau.fr
S124;15;BONNEAU;Gerard;;bgerard@iutbayonne.univ-pau.fr
S124;26;BOURDON;Reynaud;;breynaud@iutbayonne.univ-pau.fr
S124;8;BOURGEOIS;Gillet;;bgillet@iutbayonne.univ-pau.fr
S124;17;BRAULT;Gay;;bgay@iutbayonne.univ-pau.fr
S124;28;BRAULT;Michel;;bmichel@iutbayonne.univ-pau.fr
S124;10;BROSSARD;Schmitt;;bschmitt@iutbayonne.univ-pau.fr
S124;19;CHRETIEN;Garnier;;cgarnier@iutbayonne.univ-pau.fr
S124;30;ROSSI;Blanc;TT;rblanc@iutbayonne.univ-pau.fr
S125;1;CLAUDE;Jacob;;cjacob@iutbayonne.univ-pau.fr
S125;12;COLLET;Gay;;cgay@iutbayonne.univ-pau.fr
S125;21;COMTE;Barthelemy;;cbarthelemy@iutbayonne.univ-pau.fr
S125;3;COMTE;Chevalier;;cchevalier@iutbayonne.univ-pau.fr
S125;14;CORNU;Etienne;;cetienne@iutbayonne.univ-pau.fr
S125;23;DANIEL;"Da Silva";;"dda silva@iutbayonne.univ-pau.fr"
S125;5;DUPRE;Aubert;;daubert@iutbayonne.univ-pau.fr
S125;16;DUPRE;Dupont;;ddupont@iutbayonne.univ-pau.fr
S125;25;FERNANDEZ;Chauvin;;fchauvin@iutbayonne.univ-pau.fr
S125;7;FLEURY;Caron;;fcaron@iutbayonne.univ-pau.fr
S125;18;GEOFFROY;Leveque;;gleveque@iutbayonne.univ-pau.fr
S125;27;GILLES;Fleury;;gfleury@iutbayonne.univ-pau.fr
S125;9;GIRAUD;Millet;;gmillet@iutbayonne.univ-pau.fr
S125;20;GREGOIRE;Schneider;;gschneider@iutbayonne.univ-pau.fr
S125;29;HOFFMANN;Gilbert;;hgilbert@iutbayonne.univ-pau.fr
Amphi;26;JACQUES;Perez;;jperez@iutbayonne.univ-pau.fr
Amphi;24;JULIEN;Rodriguez;;jrodriguez@iutbayonne.univ-pau.fr
Amphi;22;LABORDE;Deschamps;;ldeschamps@iutbayonne.univ-pau.fr
Amphi;20;LACOUR;Bertin;;lbertin@iutbayonne.univ-pau.fr
Amphi;18;LAINE;Tessier;;ltessier@iutbayonne.univ-pau.fr
Amphi;16;LEGER;Guyot;;lguyot@iutbayonne.univ-pau.fr
Amphi;14;LEGROS;Renard;;lrenard@iutbayonne.univ-pau.fr
Amphi;52;LEMOINE;Baron;;lbaron@iutbayonne.univ-pau.fr
Amphi;50;LETELLIER;Rey;;lrey@iutbayonne.univ-pau.fr
Amphi;48;LEVASSEUR;Clement;;lclement@iutbayonne.univ-pau.fr
Amphi;46;LOISEAU;Blanchard;;lblanchard@iutbayonne.univ-pau.fr
Amphi;44;LOISEAU;Payet;;lpayet@iutbayonne.univ-pau.fr
Amphi;42;LOISEAU;Fernandez;;lfernandez@iutbayonne.univ-pau.fr
Amphi;40;LOMBARD;Giraud;;lgiraud@iutbayonne.univ-pau.fr
Amphi;78;MACE;Leger;;mleger@iutbayonne.univ-pau.fr
Amphi;76;MAILLOT;Leger;;mleger@iutbayonne.univ-pau.fr
Amphi;74;MARQUET;Pasquier;;mpasquier@iutbayonne.univ-pau.fr
Amphi;72;MARY;Menard;;mmenard@iutbayonne.univ-pau.fr
Amphi;70;MAURIN;Chevallier;;mchevallier@iutbayonne.univ-pau.fr
Amphi;68;MICHAUD;Marechal;;mmarechal@iutbayonne.univ-pau.fr
Amphi;66;MICHAUD;Carpentier;;mcarpentier@iutbayonne.univ-pau.fr
Amphi;101;NEVEU;Hamon;;nhamon@iutbayonne.univ-pau.fr
Amphi;99;NEVEU;Jacquet;;njacquet@iutbayonne.univ-pau.fr
Amphi;97;NORMAND;Robin;;nrobin@iutbayonne.univ-pau.fr
Amphi;95;PAUL;Dubois;;pdubois@iutbayonne.univ-pau.fr
Amphi;93;PONCET;Perrin;;pperrin@iutbayonne.univ-pau.fr
Amphi;91;PROVOST;Lemoine;;plemoine@iutbayonne.univ-pau.fr
Amphi;125;ROSE;Pelletier;;rpelletier@iutbayonne.univ-pau.fr
Amphi;123;SANCHEZ;Pelletier;;spelletier@iutbayonne.univ-pau.fr
Amphi;121;SEGUIN;Hamon;;shamon@iutbayonne.univ-pau.fr
Amphi;119;SERRE;Pierre;;spierre@iutbayonne.univ-pau.fr
Amphi;117;TECHER;Lemoine;;tlemoine@iutbayonne.univ-pau.fr
Amphi;115;TELLIER;Pichon;;tpichon@iutbayonne.univ-pau.fr
Amphi;149;WEBER;Gay;;wgay@iutbayonne.univ-pau.fr
Amphi;147;WEISS;Antoine;;wantoine@iutbayonne.univ-pau.fr
