Salle;NumeroPlace;Nom;Prenom;Statut;Mail
S124;2;BOULET;Bouvet;TT;bbouvet@iutbayonne.univ-pau.fr
S124;11;COMTE;Gros;TT;cgros@iutbayonne.univ-pau.fr
S124;22;GRAS;Pascal;TT;gpascal@iutbayonne.univ-pau.fr
S124;4;SABATIER;Lacoste;TT;slacoste@iutbayonne.univ-pau.fr
S124;13;ANDRIEU;Clerc;;aclerc@iutbayonne.univ-pau.fr
S124;24;BATAILLE;Brunel;;bbrunel@iutbayonne.univ-pau.fr
S124;6;BAUER;Gallet;;bgallet@iutbayonne.univ-pau.fr
S124;15;BELLANGER;Lemonnier;;blemonnier@iutbayonne.univ-pau.fr
S124;26;BIGOT;Legros;;blegros@iutbayonne.univ-pau.fr
S124;8;BIGOT;Guillou;;bguillou@iutbayonne.univ-pau.fr
S124;17;BOCQUET;Morvan;;bmorvan@iutbayonne.univ-pau.fr
S124;28;BOURDIN;Chambon;;bchambon@iutbayonne.univ-pau.fr
S124;10;BRUNEL;Leconte;;bleconte@iutbayonne.univ-pau.fr
S124;19;CARTIER;Levy;;clevy@iutbayonne.univ-pau.fr
S124;30;FERRY;Lagarde;TT;flagarde@iutbayonne.univ-pau.fr
S125;1;CHAPUIS;Masse;;cmasse@iutbayonne.univ-pau.fr
S125;12;CLERC;Clerc;;cclerc@iutbayonne.univ-pau.fr
S125;21;CORNU;Didier;;cdidier@iutbayonne.univ-pau.fr
S125;3;DELANNOY;Lebon;;dlebon@iutbayonne.univ-pau.fr
S125;14;DUJARDIN;Colas;;dcolas@iutbayonne.univ-pau.fr
S125;23;DUMOULIN;Barbe;;dbarbe@iutbayonne.univ-pau.fr
S125;5;DUMOULIN;Potier;;dpotier@iutbayonne.univ-pau.fr
S125;16;DUMOULIN;Merle;;dmerle@iutbayonne.univ-pau.fr
S125;25;FERREIRA;Rossi;;frossi@iutbayonne.univ-pau.fr
S125;7;FERRY;Duclos;;fduclos@iutbayonne.univ-pau.fr
S125;18;GERVAIS;Turpin;;gturpin@iutbayonne.univ-pau.fr
S125;27;GICQUEL;Ferreira;;gferreira@iutbayonne.univ-pau.fr
S125;9;GOSSELIN;Couturier;;gcouturier@iutbayonne.univ-pau.fr
S125;20;GOSSELIN;Devaux;;gdevaux@iutbayonne.univ-pau.fr
S125;29;GRAS;Joubert;;gjoubert@iutbayonne.univ-pau.fr
S129;19;GUEGUEN;Lefort;;glefort@iutbayonne.univ-pau.fr
S129;31;GUILLARD;Guibert;;gguibert@iutbayonne.univ-pau.fr
S129;30;GUILLEMIN;Duclos;;gduclos@iutbayonne.univ-pau.fr
S129;17;IMBERT;Turpin;;iturpin@iutbayonne.univ-pau.fr
S129;28;JAMET;Joubert;;jjoubert@iutbayonne.univ-pau.fr
S129;15;JUNG;Bernier;;jbernier@iutbayonne.univ-pau.fr
S129;8;JUNG;Wagner;;jwagner@iutbayonne.univ-pau.fr
S129;26;LACOUR;Lesage;;llesage@iutbayonne.univ-pau.fr
S129;13;LACOUR;Hebert;;lhebert@iutbayonne.univ-pau.fr
S129;6;"LE ROY";Ruiz;;lruiz@iutbayonne.univ-pau.fr
S129;24;"LE ROY";Gros;;lgros@iutbayonne.univ-pau.fr
S129;11;"LE ROY";Ferrand;;lferrand@iutbayonne.univ-pau.fr
S129;4;LEBLOND;Delahaye;;ldelahaye@iutbayonne.univ-pau.fr
S129;22;LEDOUX;Gras;;lgras@iutbayonne.univ-pau.fr
S129;9;LEDOUX;Delahaye;;ldelahaye@iutbayonne.univ-pau.fr
S129;2;LENOIR;Imbert;;limbert@iutbayonne.univ-pau.fr
Amphi;26;LEONARD;Faivre;;lfaivre@iutbayonne.univ-pau.fr
Amphi;24;LETELLIER;Godard;;lgodard@iutbayonne.univ-pau.fr
Amphi;22;LEVY;Mahe;;lmahe@iutbayonne.univ-pau.fr
Amphi;20;MAIRE;Auger;;mauger@iutbayonne.univ-pau.fr
Amphi;18;MARIN;Vaillant;;mvaillant@iutbayonne.univ-pau.fr
Amphi;16;MARTINEAU;Boutin;;mboutin@iutbayonne.univ-pau.fr
Amphi;14;MARTINS;Bruneau;;mbruneau@iutbayonne.univ-pau.fr
Amphi;52;MAURIN;Gilles;;mgilles@iutbayonne.univ-pau.fr
Amphi;50;NEVEU;Parmentier;;nparmentier@iutbayonne.univ-pau.fr
Amphi;48;PAPIN;Evrard;;pevrard@iutbayonne.univ-pau.fr
Amphi;46;PAPIN;Alexandre;;palexandre@iutbayonne.univ-pau.fr
Amphi;44;PELTIER;Maurice;;pmaurice@iutbayonne.univ-pau.fr
Amphi;42;PERON;Ruiz;;pruiz@iutbayonne.univ-pau.fr
Amphi;40;POISSON;Jacquot;;pjacquot@iutbayonne.univ-pau.fr
Amphi;78;PRAT;Delahaye;;pdelahaye@iutbayonne.univ-pau.fr
Amphi;76;PUJOL;Baudry;;pbaudry@iutbayonne.univ-pau.fr
Amphi;74;RIGAUD;Toussaint;;rtoussaint@iutbayonne.univ-pau.fr
Amphi;72;SCHMIDT;Joseph;;sjoseph@iutbayonne.univ-pau.fr
Amphi;70;WEISS;Bonneau;;wbonneau@iutbayonne.univ-pau.fr
