Nom;Prenom;Identifiant;INE;"Groupe TD";"Groupe TP";Statuts;Parcours;Bac;"Année Bac";"Type Bac";Courriel
Letellier;Godard;lgodard;7186947pk;1;1;;;"Série générale";2021;;lgodard@iutbayonne.univ-pau.fr
Bigot;Legros;blegros;7393596pk;1;1;;;"Série générale";2021;;blegros@iutbayonne.univ-pau.fr
Poisson;Jacquot;pjacquot;3751749pk;1;1;;;"Série générale";2021;;pjacquot@iutbayonne.univ-pau.fr
Jung;Bernier;jbernier;8005111pk;1;1;;;"Série générale";2021;;jbernier@iutbayonne.univ-pau.fr
Ferry;Duclos;fduclos;6057653pk;1;1;;;"Série générale";2021;;fduclos@iutbayonne.univ-pau.fr
Schmidt;Joseph;sjoseph;5687962pk;1;1;;;"ST de l'Ind. et du développement durable";2021;;sjoseph@iutbayonne.univ-pau.fr
Jung;Wagner;jwagner;4105548pk;1;1;;;"Série générale";2021;;jwagner@iutbayonne.univ-pau.fr
Dumoulin;Barbe;dbarbe;7435073pk;1;1;;;"Série générale";2021;;dbarbe@iutbayonne.univ-pau.fr
"Le Roy";Ruiz;lruiz;2778390pk;1;1;;;"Série générale";2021;;lruiz@iutbayonne.univ-pau.fr
Gueguen;Lefort;glefort;2220499pk;1;1;"red. 1A";;S-Scientifique;2020;;glefort@iutbayonne.univ-pau.fr
Gosselin;Couturier;gcouturier;5109637pk;1;1;;;"Série générale";2021;;gcouturier@iutbayonne.univ-pau.fr
Gras;Joubert;gjoubert;8834617pk;1;1;;;"ST de l'Ind. et du développement durable";2021;;gjoubert@iutbayonne.univ-pau.fr
Prat;Delahaye;pdelahaye;6772003pk;1;1;;;"ST de l'Ind. et du développement durable";2021;;pdelahaye@iutbayonne.univ-pau.fr
Leonard;Faivre;lfaivre;1592694pk;1;1;;;"Série générale";2021;;lfaivre@iutbayonne.univ-pau.fr
Jamet;Joubert;jjoubert;2048194pk;1;1;;;"Série générale";2021;;jjoubert@iutbayonne.univ-pau.fr
Peron;Ruiz;pruiz;975762pk;1;2;;;"Série générale";2021;;pruiz@iutbayonne.univ-pau.fr
Chapuis;Masse;cmasse;3844097pk;1;2;;;"ST de l'Ind. et du développement durable";2021;;cmasse@iutbayonne.univ-pau.fr
Clerc;Clerc;cclerc;8054398pk;1;2;"Délégué TP5";;"Série générale";2021;;cclerc@iutbayonne.univ-pau.fr
"Le Roy";Gros;lgros;4029043pk;1;2;;;"ST de l'Ind. et du développement durable";2021;;lgros@iutbayonne.univ-pau.fr
